epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,162.93,1.11273,2.68801,0.00204,0.72752,0.75088,0.91167,0.67013,1.27133,2.64406,0.00525,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,164.853,1.23808,2.2794,0.00232,0.72752,0.75088,0.91167,0.67013,1.27133,2.64406,0.00525,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,166.841,1.37609,2.7113,0.00252,0.6676,0.85259,0.91167,0.6722,1.24643,2.5637,0.00511,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,168.756,1.26304,2.27043,0.00237,0.6676,0.85259,0.91167,0.6722,1.24643,2.5637,0.00511,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,170.77,1.20744,2.71696,0.00226,0.76267,0.75,0.91167,0.6524,1.26468,2.49079,0.00518,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,172.657,1.25008,2.24667,0.00208,0.76267,0.75,0.91167,0.6524,1.26468,2.49079,0.00518,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,174.665,1.35436,3.0989,0.00269,0.6584,0.89724,0.91167,0.66989,1.25969,2.42561,0.00512,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,176.642,1.14286,3.89182,0.00283,0.6584,0.89724,0.91167,0.66989,1.25969,2.42561,0.00512,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,178.712,1.21377,2.84092,0.0022,0.66028,0.91867,0.91167,0.68129,1.26512,2.37971,0.00516,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,180.692,1.11179,2.30647,0.0019,0.66028,0.91867,0.91167,0.68129,1.26512,2.37971,0.00516,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
